Médico ID;Estratégia;Tática; Presc.EMS-1 ; Presc.EMS-2 ; Presc.EMS-3 ; Presc.EMS-O ; Potencial Prescritivo ; Potencia Concorrência ;Campanha;Qtde Brinde; Frequência de visita ;Visita Apresentação;Visita Acompanhamento;Visita Lançamento;Visita Prom;Material Promo;Amostras;Especial;Cidade;Região;Estado;Categoria ;Especialidade; Valor Consulta ;Convênios;Volume Pacientes;Perfil Localização;Perfil Pacientes;Idade
8234372;Manutenção;Foco MS-1; 410,00 ; 3.410,00 ; 1.710,00 ; 10,00 ; 6.350,00 ; 810,00 ;11;1; 0,50 ;0;3;2;6;2;80;0;Santos;Central;SP;1;Cardiologista; 286,00 ;0;100;Região C;Alta;53
8234523;Conversão;Convencional; 8.200,00 ; 3.000,00 ; 2.000,00 ; 11.200,00 ; 25.800,00 ; 1.400,00 ;9;0; 0,75 ;4;3;2;9;2;80;0;Salvador;Periférica;BA;1;Cardiologista; 198,00 ;4;280;Região E;Indefinido;50
8234674;Entrada;Foco MS-3; 4.830,00 ; 4.130,00 ; 1.430,00 ; 10.230,00 ; 27.750,00 ; 7.130,00 ;1;7; 0,83 ;3;4;2;10;5;80;0;Salvador;Central;BA;0;Cardiologista; 255,00 ;6;395;Região D;Média Alta;47
8234825;Entrada;Foco MS-1; 1.410,00 ; 710,00 ; 510,00 ; 7.810,00 ; 27.250,00 ; 16.810,00 ;3;5; 0,33 ;1;1;1;4;4;120;0;Porto Alegre;Periférica;RS;2;Cardiologista; 650,00 ;3;205;Região A;Alta;48
8234976;Conversão;Convencional; 5.800,00 ; 3.300,00 ; 400,00 ; 14.700,00 ; 40.900,00 ; 16.700,00 ;2;9; 0,67 ;3;3;2;8;4;60;0;Porto Alegre;Periférica;RS;0;Cardiologista; 322,00 ;4;285;Região D;Alta;44
8235127;Referência;Foco MS-1; 6.610,00 ; 2.810,00 ; 1.310,00 ; 8.810,00 ; 35.750,00 ; 16.210,00 ;2;9; 0,75 ;3;3;2;9;2;120;1960,802473;Salvador;Central;BA;1;Cardiologista; 313,00 ;6;370;Região B;Média;43
8235278;Manutenção;Convencional; 2.700,00 ; 800,00 ; 1.600,00 ; 13.900,00 ; 31.300,00 ; 12.300,00 ;5;6; 0,33 ;1;1;2;4;0;40;0;Porto Alegre;Central;RS;1;Cardiologista; 243,00 ;1;130;Região D;Média Alta;56
8235429;Referência;Migração; 440,00 ; 740,00 ; 2.240,00 ; 6.440,00 ; 10.700,00 ; 840,00 ;9;6; 0,42 ;1;1;3;5;0;60;0;Santos;Central;SP;2;Cardiologista; 258,00 ;5;360;Região B;Média;51
8235580;Entrada;Convencional; 9.200,00 ; 300,00 ; 500,00 ; 8.000,00 ; 27.800,00 ; 9.800,00 ;3;0; 0,50 ;4;0;1;6;5;20;0;Minas Gerais;Central;MG;1;Cardiologista; 153,00 ;1;125;Região C;Indefinido;46
8235731;Manutenção;Convencional; 9.300,00 ; 3.800,00 ; 1.600,00 ; 3.900,00 ; 19.000,00 ; 400,00 ;9;10; 0,75 ;4;3;2;9;4;60;0;São Paulo;Periférica;SP;1;Cardiologista; 284,00 ;1;140;Região C;Média Alta;54
8235882;Conversão;Migração; 8.340,00 ; 540,00 ; 340,00 ; 10.340,00 ; 20.200,00 ; 640,00 ;4;3; 0,67 ;4;1;2;8;2;120;0;Rio de Janeiro;Periférica;RJ;2;Cardiologista; 277,00 ;6;395;Região B;Média Alta;43
8236033;Conversão;Foco MS-2; 9.520,00 ; 2.220,00 ; 1.120,00 ; 4.120,00 ; 17.600,00 ; 620,00 ;8;0; 0,92 ;5;3;2;11;5;80;0;Santos;Periférica;SP;0;Cardiologista; 251,00 ;5;350;Região A;Média Baixa;47
8236184;Manutenção;Foco MS-2; 7.920,00 ; 2.620,00 ; 1.320,00 ; 6.720,00 ; 19.600,00 ; 1.020,00 ;2;10; 0,75 ;4;3;2;9;5;20;4408,676073;Porto Alegre;Periférica;RS;2;Cardiologista; 168,00 ;5;355;Região D;Indefinido;50
8236335;Entrada;Foco MS-1; 7.710,00 ; 2.610,00 ; 910,00 ; 13.710,00 ; 27.550,00 ; 2.610,00 ;4;14; 0,58 ;3;2;1;7;3;60;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 147,00 ;0;85;Região A;Indefinido;51
8236486;Manutenção;Foco MS-2; 1.420,00 ; 1.220,00 ; 1.620,00 ; 4.920,00 ; 11.600,00 ; 2.420,00 ;5;10; 0,42 ;1;1;2;5;5;20;0;Porto Alegre;Central;RS;2;Cardiologista; 122,00 ;1;135;Região B;Média Baixa;43
8236637;Conversão;Foco MS-2; 3.420,00 ; 2.220,00 ; 320,00 ; 6.220,00 ; 17.800,00 ; 5.620,00 ;8;2; 0,58 ;2;3;2;7;4;20;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 224,00 ;6;395;Região C;Média;41
8236788;Referência;Migração; 5.640,00 ; 3.540,00 ; 1.340,00 ; 14.540,00 ; 32.400,00 ; 7.340,00 ;4;6; 0,75 ;3;4;2;9;3;100;0;Porto Alegre;Periférica;RS;2;Cardiologista; 289,00 ;6;430;Região D;Média Alta;54
8236939;Referência;Foco MS-1; 7.110,00 ; 2.210,00 ; 2.110,00 ; 8.110,00 ; 21.850,00 ; 2.310,00 ;7;14; 0,67 ;3;2;2;8;5;100;0;Salvador;Central;BA;0;Cardiologista; 157,00 ;4;260;Região C;Média Baixa;44
8237090;Entrada;Migração; 8.240,00 ; 4.440,00 ; 1.240,00 ; 7.340,00 ; 27.400,00 ; 6.140,00 ;4;13; 0,92 ;4;5;2;11;2;20;0;Minas Gerais;Central;MG;1;Cardiologista; 233,00 ;7;435;Região C;Média Baixa;51
8237241;Manutenção;Foco MS-3; 1.330,00 ; 330,00 ; 1.730,00 ; 12.630,00 ; 16.650,00 ; 630,00 ;8;5; 0,33 ;1;0;2;4;0;60;0;Santos;Periférica;SP;2;Cardiologista; 167,00 ;2;160;Região E;Média Baixa;49
8237392;Manutenção;Convencional; 7.600,00 ; 3.400,00 ; 1.600,00 ; 10.900,00 ; 23.600,00 ; 100,00 ;1;11; 0,75 ;3;3;2;9;3;20;0;Salvador;Central;BA;1;Cardiologista; 323,00 ;2;205;Região E;Alta;46
8237543;Referência;Convencional; 9.700,00 ; 300,00 ; 1.600,00 ; 13.800,00 ; 32.800,00 ; 7.400,00 ;2;2; 0,67 ;4;1;2;8;2;100;0;São Paulo;Periférica;SP;1;Cardiologista; 149,00 ;4;285;Região C;Indefinido;50
