age,ed,employ,address,income,debtinc,creddebt,othdebt,Inadimplente
41.000000,3.000000,17.000000,12.000000,176.000000,9.300000,11.359392,5.008608,1.000000
27.000000,1.000000,10.000000,6.000000,31.000000,17.300000,1.362202,4.000798,0.000000
40.000000,1.000000,15.000000,14.000000,55.000000,5.500000,0.856075,2.168925,0.000000
41.000000,1.000000,15.000000,14.000000,120.000000,2.900000,2.658720,0.821280,0.000000
24.000000,2.000000,2.000000,0.000000,28.000000,17.300000,1.787436,3.056564,1.000000
41.000000,2.000000,5.000000,5.000000,25.000000,10.200000,0.392700,2.157300,0.000000
39.000000,1.000000,20.000000,9.000000,67.000000,30.600000,3.833874,16.668126,0.000000
43.000000,1.000000,12.000000,11.000000,38.000000,3.600000,0.128592,1.239408,0.000000
24.000000,1.000000,3.000000,4.000000,19.000000,24.400000,1.358348,3.277652,1.000000
36.000000,1.000000,0.000000,13.000000,25.000000,19.700000,2.777700,2.147300,0.000000
27.000000,1.000000,0.000000,1.000000,16.000000,1.700000,0.182512,0.089488,0.000000
25.000000,1.000000,4.000000,0.000000,23.000000,5.200000,0.252356,0.943644,0.000000
52.000000,1.000000,24.000000,14.000000,64.000000,10.000000,3.929600,2.470400,0.000000
37.000000,1.000000,6.000000,9.000000,29.000000,16.300000,1.715901,3.011099,0.000000
48.000000,1.000000,22.000000,15.000000,100.000000,9.100000,3.703700,5.396300,0.000000
36.000000,2.000000,9.000000,6.000000,49.000000,8.600000,0.817516,3.396484,1.000000
36.000000,2.000000,13.000000,6.000000,41.000000,16.400000,2.918216,3.805784,1.000000
43.000000,1.000000,23.000000,19.000000,72.000000,7.600000,1.181952,4.290048,0.000000
39.000000,1.000000,6.000000,9.000000,61.000000,5.700000,0.563274,2.913726,0.000000
41.000000,3.000000,0.000000,21.000000,26.000000,1.700000,0.099008,0.342992,0.000000
39.000000,1.000000,22.000000,3.000000,52.000000,3.200000,1.154816,0.509184,0.000000
47.000000,1.000000,17.000000,21.000000,43.000000,5.600000,0.587552,1.820448,0.000000
28.000000,1.000000,3.000000,6.000000,26.000000,10.000000,0.431600,2.168400,0.000000
29.000000,1.000000,8.000000,6.000000,27.000000,9.800000,0.402192,2.243808,0.000000
21.000000,2.000000,1.000000,2.000000,16.000000,18.000000,0.241920,2.638080,1.000000
25.000000,4.000000,0.000000,2.000000,32.000000,17.600000,2.140160,3.491840,0.000000
45.000000,2.000000,9.000000,26.000000,69.000000,6.700000,0.707319,3.915681,0.000000
43.000000,1.000000,25.000000,21.000000,64.000000,16.700000,0.951232,9.736768,0.000000
33.000000,2.000000,12.000000,8.000000,58.000000,18.400000,3.084208,7.587792,0.000000
26.000000,3.000000,2.000000,1.000000,37.000000,14.200000,0.204906,5.049094,0.000000
45.000000,1.000000,3.000000,15.000000,20.000000,2.100000,0.105000,0.315000,0.000000
30.000000,1.000000,1.000000,10.000000,22.000000,10.500000,1.138830,1.171170,0.000000
27.000000,3.000000,2.000000,7.000000,26.000000,6.000000,0.722280,0.837720,0.000000
25.000000,1.000000,8.000000,4.000000,27.000000,14.400000,1.018656,2.869344,0.000000
25.000000,1.000000,8.000000,1.000000,35.000000,2.900000,0.077140,0.937860,0.000000
26.000000,2.000000,6.000000,7.000000,45.000000,26.000000,6.048900,5.651100,0.000000
30.000000,2.000000,10.000000,4.000000,22.000000,16.100000,1.409716,2.132284,0.000000
32.000000,2.000000,12.000000,1.000000,54.000000,14.400000,3.195936,4.580064,0.000000
28.000000,2.000000,1.000000,8.000000,24.000000,17.100000,1.337904,2.766096,1.000000
45.000000,1.000000,23.000000,5.000000,50.000000,4.200000,0.558600,1.541400,0.000000
23.000000,1.000000,7.000000,2.000000,31.000000,6.600000,0.337590,1.708410,0.000000
34.000000,1.000000,17.000000,3.000000,59.000000,8.000000,1.807760,2.912240,0.000000
42.000000,2.000000,7.000000,23.000000,41.000000,4.600000,0.941114,0.944886,0.000000
39.000000,1.000000,19.000000,5.000000,48.000000,13.100000,1.930416,4.357584,0.000000
26.000000,1.000000,0.000000,0.000000,14.000000,7.500000,0.302400,0.747600,1.000000
21.000000,2.000000,0.000000,1.000000,16.000000,6.800000,0.150144,0.937856,0.000000
35.000000,1.000000,13.000000,15.000000,35.000000,4.500000,0.431550,1.143450,0.000000
47.000000,1.000000,4.000000,2.000000,26.000000,10.400000,0.121680,2.582320,0.000000
23.000000,2.000000,0.000000,2.000000,21.000000,11.400000,0.775656,1.618344,1.000000
35.000000,1.000000,18.000000,2.000000,42.000000,7.400000,0.205128,2.902872,0.000000
34.000000,1.000000,2.000000,11.000000,25.000000,12.600000,0.573300,2.576700,1.000000
46.000000,1.000000,1.000000,12.000000,20.000000,14.000000,0.809200,1.990800,0.000000
46.000000,1.000000,16.000000,18.000000,52.000000,12.900000,3.032016,3.675984,1.000000
38.000000,3.000000,3.000000,18.000000,25.000000,3.700000,0.311725,0.613275,0.000000
40.000000,2.000000,3.000000,2.000000,28.000000,9.500000,0.553280,2.106720,0.000000
37.000000,1.000000,1.000000,3.000000,24.000000,15.100000,1.801128,1.822872,1.000000
35.000000,1.000000,9.000000,1.000000,34.000000,5.000000,0.397800,1.302200,0.000000
39.000000,2.000000,16.000000,13.000000,69.000000,2.400000,1.061496,0.594504,0.000000
40.000000,3.000000,18.000000,6.000000,100.000000,2.500000,1.485000,1.015000,0.000000
50.000000,3.000000,10.000000,20.000000,80.000000,12.200000,2.479040,7.280960,0.000000
31.000000,1.000000,9.000000,10.000000,28.000000,2.400000,0.047712,0.624288,0.000000
29.000000,1.000000,13.000000,1.000000,42.000000,7.400000,1.457652,1.650348,1.000000
37.000000,1.000000,4.000000,0.000000,23.000000,12.400000,0.869860,1.982140,0.000000
33.000000,2.000000,4.000000,9.000000,55.000000,7.000000,2.159850,1.690150,0.000000
